month_year,MARCA,MODELO,MERCANCÍA,UNIDAD COMERCIAL,US$ CIF,CANTIDAD COMERCIAL
2024-08,REINTJES,WAF0743L,"JUNTA ARANDELA, REINTJES, WAF0743L",UNIDAD,4.12,3.0
2024-08,REINTJES,WAF0743L,"JUNTA PLANA, REINTJES, WAF0743L",UNIDAD,45.32,2.0
2024-08,REINTJES,WAF0743L,"JUNTA, REINTJES, WAF0743L",UNIDAD,175.01,16.0
2024-08,REINTJES,WAF0743L,"MANOMETRO, REINTJES, WAF0743L",UNIDAD,115.07,1.0
2024-08,REINTJES,WAF0743L,"MUELLE AJUSTE AXIAL, REINTJES, WAF0743L",UNIDAD,30.75,6.0
2024-08,REINTJES,WAF0743L,"MUELLE DE EMBRAGUE, REINTJES, WAF0743L",UNIDAD,114.26,24.0
2024-08,REINTJES,WAF0743L,"MUELLE, REINTJES, WAF0743L",UNIDAD,9.32,2.0
2024-08,REINTJES,WAF0743L,"PASADOR ROSCADO, REINTJES, WAF0743L",UNIDAD,4.16,5.0
2024-08,REINTJES,WAF0743L,"PEGAMENTO PARA JUNTA, REINTJES, WAF0743L",UNIDAD,291.61,2.0
2024-08,REINTJES,WAF0743L,"PISTA RETEN, REINTJES, WAF0743L",UNIDAD,488.14,1.0
2024-08,REINTJES,WAF0743L,"PNEUCO PISTON COMPLETO, REINTJES, WAF0743L",UNIDAD,146.12,1.0
2024-08,REINTJES,WAF0743L,"RETEN, REINTJES, WAF0743L",UNIDAD,245.48000000000002,2.0
2024-08,REINTJES,WAF0743L,"RODAMIENTO, REINTJES, WAF0743L",UNIDAD,9615.4,15.0
2024-08,REINTJES,WAF0743L,"SEGMENTO, REINTJES, WAF0743L",UNIDAD,539.29,4.0
2024-08,REINTJES,WAF0743L,"TAPON ROSCADO, REINTJES, WAF0743L",UNIDAD,118.55,2.0
2024-08,REINTJES,WAF0743L,"TORNILLO HEXAGONAL CON PEGAMENTO, REINTJES, WAF0743L",UNIDAD,244.04000000000002,96.0
2024-08,REINTJES,WAF0743L,"TORNILLO HEXAGONAL, REINTJES, WAF0743L",UNIDAD,127.33,12.0
2024-08,REINTJES,WAF0743L,"TUERCA DE EJE, REINTJES, WAF0743L",UNIDAD,170.06,1.0
2024-08,REINTJES,WAF0743L,"TUERCA DE FIJACION, REINTJES, WAF0743L",UNIDAD,119.76,2.0
2024-08,REINTJES,WAF0743L,"VALVULA ANTIRRETORNO, REINTJES, WAF0743L",UNIDAD,290.21,6.0
2024-08,VULKAN,3115,"ELEMENTO DE ACOPLE, VULKAN, 3115",UNIDAD,22781.03,1.0
2024-08,VULKAN,3411,"ELEMENTO DE ACOPLE, VULKAN, 3411",UNIDAD,3618.87,1.0
2024-09,VULKAN,G1621,"ELEMENTO DE ACOPLE, VULKAN, G1621",UNIDAD,16686.39,1.0
2024-09,VULKAN,G2511,"ELEMENTO DE ACOPLE, VULKAN, G2511",UNIDAD,19527.49,1.0
2024-09,VULKAN,RATO- S,"Membrana de acoplamiento, VULKAN, RATO- S",UNIDAD,7403.01,1.0
2024-10,SAI,GM2 250,"KIT DE SELLOS, SAI, GM2 250",UNIDAD,1652.47,6.0
2024-10,SAI,GM3 1000,"EJES, SAI, GM3 1000",UNIDAD,1621.21,2.0
